SEGMENT,ITP_REGION,ERP_SYSTEM,CONSOLIDATED_COMPANY_NAME,CONSOLIDATED_COMPANY_CODE,ERP_COMPANY_CODE,ERP_PLANT_CODE,ACCOUNTING_FACILITY_CODE,RECEIVING_FACILITY_CODE,RECEIVING_FACILITY_DESCRIPTION,SUPPLIER_CODE,SUPPLIER_NAME,SUPPLIER_INV_DATE,SUPPLIER_SHIP_DATE,SUPPLIER_INV_NUMBER,CAT_DOCUMENT_NO,DOCUMENT_CURR,AMOUNT_DOCUMENT_CURR,AMOUNT_USD_LINE,AMOUNT_USD_HEADER_VAT,AMOUNT_USD_HEADER,INV_RECEIPT_DATE,SCANNING_BARCODE,ENTRY_DATE,POSTING_DATE,PAYMENT_DATE,PAYMENT_TERMS,DUE_DATE,DUE_DATE_ERP,PO_NUMBER,DOCUMENT_TYPE,STATUS,TYPE_OF_VENDOR,TRANSACTION_CODE,USER_ID,GRIEF_CREATION_DATE,GRIEF_APPROVAL_DATE,GRIEF_CLOSURE_DATE_HEADER,GRIEF_CLOSURE_DATE_LINE,GRIEF_AGEING,GRANULAR_GRIEF_TYPE,CONSOLIDATED_GRIEF_TYPE,GRIEF_OWNER,GRIEF_ESCALATION,FREIGHT_TYPE,DESTINATION_CITY,DESTINATION_STATE,XPDT_LOAD_AUTH_ID,SECONDARY_CARRIER_PRO_NUMBER,ORIGIN_CITY,ORIGIN_STATE,METHOD_OF_ENTRY,LINE_ITEM_NUMBER,MD5_HASH,ETL_CREATED_DATE,ETL_CDC_DATE
,North America,CFPS,,,1,LE,LE,LE,,2687A,CON-WAY FREIGHT                    ,09-01-2020,09-01-2020,991979273,20200109991979273     LE2687A,USD,183.67,183.67,183.67,183.67,23-01-2020,,28-01-2020,31-01-2020,19-03-2020,60,23-03-2020,23-03-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,28-01-2020,28-01-2020,,,,,,Inbound,GRIFFIN                  ,GA,999    999,991979273,TECUMSEH                 ,ON,,,6c74aa80b60119dffe2f39b5f5ea0cc0,28:20.4,28:20.4
,EAME,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,26-05-2021,26-05-2021,3503687154,202105263503687154    010090 ,USD,42.03,42.03,42.03,42.03,03-06-2021,,17-06-2021,22-06-2021,02-08-2021,60,02-08-2021,02-08-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,17-06-2021,17-06-2021,,,,,,outbound,EBENSBURG                ,PA,          ,350368715,GRIMBERGEN               ,  ,,,350b2182c898ea8cc5198ad7412755ef,28:20.4,28:20.4
,North America,CFPS,,,1,11,1,11,,2687A,CON-WAY FREIGHT                    ,21-12-2020,21-12-2020,393791856,20201221393791856     012687A,USD,19,19,19,19,04-01-2021,,07-01-2021,12-01-2021,03-03-2021,60,05-03-2021,05-03-2021,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,07-01-2021,07-01-2021,,,,,,Inbound,JOLIET                   ,IL,          ,393791856,PEORIA                   ,IL,,,0fee580f343f21bf3583d0b2f835b2c7,28:20.4,28:20.4
,North America,CFPS,,,1,IS,1,IS,,4982,FORE TRANSPORTATION                ,24-06-2021,24-06-2021,662160,20210624662160        014982 ,USD,1.26,1.26,1.26,1.26,09-07-2021,,23-07-2021,28-07-2021,07-09-2021,60,07-09-2021,07-09-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,23-07-2021,23-07-2021,,,,,,outbound,ELWOOD                   ,IL,          ,686863,JOLIET                   ,IL,,,fb65997c7fa3d855afa4155bea190eeb,28:20.4,28:20.4
,North America,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,15-10-2020,15-10-2020,3503101437,202010153503101437    010090 ,USD,138.82,138.82,138.82,138.82,27-10-2020,,09-11-2020,12-11-2020,24-12-2020,60,26-12-2020,26-12-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,09-11-2020,09-11-2020,,,,,,outbound,GILLETTE                 ,WY,          ,350310143,GRIMBERGEN               ,  ,,,cc7d2fe7c69c4cb0f30790adafdcf10e,28:20.4,28:20.4
,North America,CFPS,,,1,11,1,11,,4984,"EVANS TRANSPORTATION SERVICES, INC ",20-01-2020,20-01-2020,D311364       ,20200120D311364       014984 ,USD,57,57,57,57,22-01-2020,,27-01-2020,30-01-2020,20-03-2020,60,22-03-2020,22-03-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,27-01-2020,27-01-2020,,,,,,Inbound,JOLIET                   ,IL,          ,14819415226,MICHIGAN CITY            ,IN,,,eeefbf35c1ef8729ac0393a6cbaa6aa9,28:20.4,28:20.4
,North America,CFPS,,,1,47,1,47,,4988,"FORZA TRANSPORTATION SERVICES, INC.",27-02-2021,27-02-2021,147240,20210227147240        014988 ,USD,330.75,330.75,330.75,330.75,03-03-2021,,19-03-2021,24-03-2021,30-04-2021,60,02-05-2021,02-05-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,19-03-2021,19-03-2021,,,,,,outbound,LAREDO                   ,TX,520    520,137921,MORTON                   ,IL,,,2dd8e35d42aab525c20979ecd57a7c0d,28:20.4,28:20.4
,North America,CFPS,,,1,13,13,13,,2687A,CON-WAY FREIGHT                    ,23-01-2020,23-01-2020,685534146,20200123685534146     132687A,USD,12.9,12.9,12.9,12.9,03-02-2020,,06-02-2020,11-02-2020,19-03-2020,60,03-04-2020,03-04-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,06-02-2020,06-02-2020,,,,,,Inbound,DECATUR                  ,IL,192    192,685534146,NORTH LIBERTY            ,IA,,,72bea378d50808d7da81ae751788f545,28:20.4,28:20.4
,North America,CFPS,,,1,ZZ,1,ZZ,,8496,UNITED PARCEL SERVICE              ,03-04-2020,03-04-2020,3661EW1400404 ,202004033661EW1400404 018496 ,USD,4.82,4.82,4.82,4.82,05-04-2020,,05-04-2020,13-04-2020,02-06-2020,60,04-06-2020,04-06-2020,,H ,Cleared,,,CASS    ,01-01-1900,01-01-1900,0000-12-30,0000-12-30,919,,,,,outbound,                         ,  ,          ,              ,                         ,  ,,,43379335b0625b06d2a9e24d9c227292,28:20.4,28:20.4
,North America,CFPS,,,1,47,1,47,,8495,UPS SUPPLY CHAIN SOLUTIONS         ,24-02-2022,24-02-2022,1552955739,202202241552955739    018495 ,USD,42.75,42.75,42.75,42.75,10-03-2022,,08-04-2022,13-04-2022,0000-12-30,60,09-05-2022,09-05-2022,,Y ,Open,,,Z1FP4065,01-01-1900,01-01-1900,08-04-2022,08-04-2022,,,,,,Inbound,MORTON                   ,IL,          ,              ,VILLA DE REYES           ,  ,,,be6c860e59856ef4c85d0a95aacdbc96,28:20.4,28:20.4
,North America,CFPS,,,1,1G,1,1G,,8231,SUPERIOR CONSOLIDATED INDUSTRIES   ,23-11-2020,23-11-2020,761889,20201123761889        018231 ,USD,4.26,4.26,4.26,4.26,24-11-2020,,11-12-2020,16-12-2020,21-01-2021,60,23-01-2021,23-01-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,11-12-2020,11-12-2020,,,,,,Inbound,BARTONVILLE              ,IL,52_317952_,761889,METAMORA                 ,IL,,,fba54c8eb4821c267e1f4dd9976b621d,28:20.4,28:20.4
,North America,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,25-10-2021,25-10-2021,3504620724,202110253504620724    010090 ,USD,93,93,93,93,05-11-2021,,19-11-2021,24-11-2021,03-01-2022,60,04-01-2022,04-01-2022,,V ,Cleared,,,CASS    ,01-01-1900,01-01-1900,19-11-2021,19-11-2021,,,,,,outbound,SALT LAKE CITY           ,UT,          ,350462072,GRIMBERGEN               ,  ,,,e449850a55217b90b939d71e709f8d61,28:20.4,28:20.4
,North America,CFPS,,,1,13,13,13,,4055,DAILY EXPRESS INC                  ,18-10-2021,18-10-2021,6715379,202110186715379       134055 ,USD,250,250,250,250,26-10-2021,,11-11-2021,16-11-2021,23-12-2021,60,25-12-2021,25-12-2021,,U ,Cleared,,,CASS    ,01-01-1900,01-01-1900,11-11-2021,11-11-2021,,,,,,outbound,DECATUR                  ,IL,          ,234565,DECATUR                  ,IL,,,0d369aabb22afc5e675cfd05ab8b3769,28:20.4,28:20.4
,North America,CFPS,,,1,1G,1,1G,,4984,"EVANS TRANSPORTATION SERVICES, INC ",25-02-2021,25-02-2021,D737801       ,20210225D737801       014984 ,USD,126.74,126.74,126.74,126.74,02-03-2021,,16-03-2021,19-03-2021,29-04-2021,60,01-05-2021,01-05-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,15-03-2021,15-03-2021,,,,,,Inbound,BARTONVILLE              ,IL,211800021,14851461831,CEDAR FALLS              ,IA,,,b60b50417bc471e462151e4326bb9f58,28:20.4,28:20.4
,EAME,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,22-10-2021,22-10-2021,3504610373,202110223504610373    010090 ,USD,3.09,3.09,3.09,3.09,28-10-2021,,15-11-2021,18-11-2021,27-12-2021,60,27-12-2021,27-12-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,15-11-2021,15-11-2021,,,,,,outbound,CHESAPEAKE               ,VA,          ,350461037,GRIMBERGEN               ,  ,,,89219f6dfb9c6b780c2a4d32416e5889,28:20.4,28:20.4
,North America,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,22-10-2021,22-10-2021,3504610373,202110223504610373    010090 ,USD,2.06,2.06,2.06,2.06,28-10-2021,,15-11-2021,18-11-2021,27-12-2021,60,27-12-2021,27-12-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,15-11-2021,15-11-2021,,,,,,outbound,CHESAPEAKE               ,VA,          ,350461037,GRIMBERGEN               ,  ,,,d497a51b62176ec61b3bc50733ff03c5,28:20.4,28:20.4
,North America,CFPS,,,1,SV,68,SV,,5060,G & D TRANSPORTATION               ,09-01-2020,09-01-2020,1312514002,202001091312514002    685060 ,USD,183.66,183.66,183.66,183.66,22-01-2020,,10-02-2020,13-02-2020,20-03-2020,60,22-03-2020,22-03-2020,,L ,Cleared,,,CASS    ,01-01-1900,01-01-1900,10-02-2020,10-02-2020,,,,,,outbound,PORT WENTWORTH           ,GA,TLLTLLUTLL,79225,SAVANNAH                 ,GA,,,86eef1d774fb68d28dfad01bb995721b,28:20.4,28:20.4
,North America,CFPS,,,1,88,88,88,,3999,COX TRANSFER INC                   ,08-02-2021,08-02-2021,852135,20210208852135        883999 ,USD,49.14,49.14,49.14,49.14,12-02-2021,,01-03-2021,04-03-2021,12-04-2021,60,13-04-2021,13-04-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,01-03-2021,01-03-2021,,,,,,Inbound,LAFAYETTE                ,IN,559    559,MN459038      ,MORTON                   ,IL,,,80fa0e01d01728c208cb7abdf5a79252,28:20.4,28:20.4
,North America,CFPS,,,1,13,1,13,,8496,UNITED PARCEL SERVICE              ,06-04-2021,06-04-2021,FA16741510410 ,20210406FA16741510410 018496 ,USD,141.91,141.91,141.91,141.91,11-04-2021,,11-04-2021,16-04-2021,08-06-2021,60,10-06-2021,10-06-2021,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,0000-12-30,0000-12-30,548,,,,,outbound,                         ,  ,          ,              ,                         ,  ,,,13053bf8dbc5ded18334daacac480b52,28:20.4,28:20.4
,North America,CFPS,,,1,SJ,SJ,SJ,,3590A,C R S T DEDICATED SERVICES         ,12-07-2021,12-07-2021,40297111,2021071240297111      SJ3590A,USD,3867.07,3867.07,3867.07,3867.07,18-08-2021,,08-09-2021,13-09-2021,15-10-2021,60,17-10-2021,17-10-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,08-09-2021,08-09-2021,,,,,,Inbound,METAMORA                 ,IL,12123193,40297111,JOLIET                   ,IL,,,0561c822639be204b9f7e0faaf8b0502,28:20.4,28:20.4
,North America,CFPS,,,1,ZQ,ZQ,ZQ,,265,ALEXIM TRADING CORPORATION         ,30-01-2021,30-01-2021,ALX218012058  ,20210130ALX218012058  ZQ0265 ,USD,6.5,6.5,6.5,6.5,02-02-2021,,16-02-2021,19-02-2021,01-04-2021,60,03-04-2021,03-04-2021,,O ,Cleared,,,CASS    ,01-01-1900,01-01-1900,16-02-2021,16-02-2021,,,,,,outbound,SANTIAGO DE CHILE        ,  ,          ,ALX21801205   ,MIAMI LAKES              ,FL,,,837eb2227c0f1c7a4bca6402734d45fe,28:20.4,28:20.4
,North America,CFPS,,,1,R2,R2,R2,,3080,AVERITT EXPRESS INC                ,24-02-2020,24-02-2020,1010118040,202002241010118040    R23080 ,USD,45.65,45.65,45.65,45.65,26-02-2020,,02-03-2020,05-03-2020,25-03-2020,30,27-03-2020,27-03-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,02-03-2020,02-03-2020,,,,,,outbound,SAN ANTONIO              ,TX,546    546,258301,WACO                     ,TX,,,8cfa270411ac2a0e78db93efbb554c01,28:20.4,28:20.4
,North America,CFPS,,,1,50,1,50,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,08-03-2022,08-03-2022,3949995423,202203083949995423    010090 ,USD,450.18,450.18,450.18,450.18,15-03-2022,,28-03-2022,31-03-2022,0000-12-30,60,14-05-2022,14-05-2022,,A ,Open,,,Z1FP4065,01-01-1900,01-01-1900,28-03-2022,28-03-2022,,,,,,outbound,PENDLETON                ,OR,          ,394999542,DENVER                   ,CO,,,0ceba8c66858b69da3fd6a4002ac9e0c,28:20.4,28:20.4
,North America,CFPS,,,1,56,1,56,,3590A,C R S T DEDICATED SERVICES         ,31-08-2021,31-08-2021,40316510,2021083140316510      013590A,USD,507.64,507.64,507.64,507.64,11-10-2021,,14-10-2021,19-10-2021,08-12-2021,60,10-12-2021,10-12-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,14-10-2021,14-10-2021,,,,,,Inbound,MIAMI LAKES              ,FL,12731026,40316510,WACO                     ,TX,,,cf04c7b861e0307637e11141c0e66513,28:20.4,28:20.4
,North America,CFPS,,,1,LE,1,LE,,8496,UNITED PARCEL SERVICE              ,02-09-2020,02-09-2020,A23V803600905 ,20200902A23V803600905 018496 ,USD,405.05,405.05,405.05,405.05,06-09-2020,,06-09-2020,14-09-2020,03-11-2020,60,05-11-2020,05-11-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,0000-12-30,0000-12-30,765,,,,,outbound,                         ,  ,          ,              ,                         ,  ,,,9e41a8b17e426f8eb988aead74231597,28:20.4,28:20.4
,EAME,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,05-02-2021,05-02-2021,3503359574,202102053503359574    010090 ,USD,96.54,96.54,96.54,96.54,17-02-2021,,02-03-2021,05-03-2021,16-04-2021,60,18-04-2021,18-04-2021,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,02-03-2021,02-03-2021,,,,,,outbound,SOMERSET                 ,PA,          ,350335957,GRIMBERGEN               ,  ,,,3c514cbfd31a48248f7a3e1bc9267a73,28:20.4,28:20.4
,North America,CFPS,,,1,82,1,82,,3190,BENNETT MOTOR EXPRESS INC C/O      ,08-11-2021,08-11-2021,732392600,20211108732392600     013190 ,USD,1895,1895,1895,1895,09-11-2021,,12-11-2021,17-11-2021,06-01-2022,60,08-01-2022,08-01-2022,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,12-11-2021,12-11-2021,,,,,,outbound,MERIDIAN                 ,MS,13795284,732392600,GALVESTON                ,TX,,,20b86ffc6ddd566f2b11ec20136d544c,28:20.4,28:20.4
,Asia,CFPS,,,1,29,1,29,,8496,UNITED PARCEL SERVICE              ,04-08-2021,04-08-2021,2AW4653210807 ,202108042AW4653210807 018496 ,USD,9.55,9.55,9.55,9.55,08-08-2021,,08-08-2021,13-08-2021,05-10-2021,60,07-10-2021,07-10-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,0000-12-30,0000-12-30,429,,,,,Inbound,                         ,  ,          ,              ,                         ,  ,,,936ae1b4aadbd4f424248469522b899b,28:20.4,28:20.4
,North America,CFPS,,,1,47,FM,47,,2886,AIR-LAND TRANSPORT SERVICE INC     ,21-01-2021,21-01-2021,S2376359      ,20210121S2376359      FM2886 ,USD,360,360,360,360,25-05-2021,,14-06-2021,17-06-2021,22-07-2021,60,24-07-2021,24-07-2021,,D ,Cleared,,,CASS    ,01-01-1900,01-01-1900,14-06-2021,14-06-2021,,,,,,Inbound,BARTONVILLE              ,IL,          ,              ,LIBERTYVILLE             ,IL,,,6c0e6ae92d4d34ee7d558d51b6296bf4,28:20.4,28:20.4
,North America,CFPS,,,1,88,88,88,,3674,CENTRAL TRANSPORT INTL INC         ,17-09-2021,17-09-2021,15018145175,2021091715018145175   883674 ,USD,12.83,12.83,12.83,12.83,19-10-2021,,02-11-2021,05-11-2021,20-12-2021,60,18-12-2021,18-12-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,02-11-2021,02-11-2021,,,,,,Inbound,LAFAYETTE                ,IN,          ,538066,BOWLING GREEN            ,KY,,,7e75a540253a08330254d31860b208bd,28:20.4,28:20.4
,North America,CFPS,,,1,11,1,11,,4841,ESTES EXPRESS LINES                ,15-03-2021,15-03-2021,245092966,20210315245092966     014841 ,USD,362.78,362.78,362.78,362.78,07-04-2021,,15-04-2021,20-04-2021,04-06-2021,60,06-06-2021,06-06-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,15-04-2021,15-04-2021,,,,,,Inbound,JOLIET                   ,IL,          ,92966,YORK                     ,PA,,,84194ec5dd9f0acc44d21d53e9c372e1,28:20.4,28:20.4
,North America,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,22-12-2020,22-12-2020,3503265139,202012223503265139    010090 ,USD,217.36,217.36,217.36,217.36,31-12-2020,,14-01-2021,20-01-2021,01-03-2021,60,01-03-2021,01-03-2021,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,14-01-2021,14-01-2021,,,,,,outbound,FORT WORTH               ,TX,          ,350326513,GRIMBERGEN               ,  ,,,af906dcd97fb5a8f07494889748b376a,28:20.4,28:20.4
,North America,CFPS,,,1,ZQ,ZQ,ZQ,,265,ALEXIM TRADING CORPORATION         ,08-03-2020,08-03-2020,ALX208030402  ,20200308ALX208030402  ZQ0265 ,USD,6.78,6.78,6.78,6.78,09-03-2020,,01-04-2020,06-04-2020,06-05-2020,60,08-05-2020,08-05-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,01-04-2020,01-04-2020,,,,,,outbound,SANTIAGO DE CHILE        ,  ,          ,ALX20803040   ,MIAMI LAKES              ,FL,,,ec2944f8893306e2acbb4dc629f3ae25,28:20.4,28:20.4
,North America,CFPS,,,1,CZ,CZ,CZ,,2687A,CON-WAY FREIGHT                    ,20-03-2020,20-03-2020,141063510,20200320141063510     CZ2687A,USD,112.86,112.86,112.86,112.86,02-04-2020,,07-04-2020,13-04-2020,01-06-2020,60,01-06-2020,01-06-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,07-04-2020,07-04-2020,,,,,,Inbound,CHILLICOTHE              ,IL,441    441,141063510,WASHINGTON               ,IL,,,3f2e70b08f8fb99026f0573796cbfb3a,28:20.4,28:20.4
